62466 ,Fårö ,Gotland ,05 ,57.9167 ,19.1333 ,4
62467 ,Fårö ,Gotland ,05 ,57.9167 ,19.1333 ,4
74950 ,Ekolsund ,Uppsala ,21 ,59.6167 ,17.3667 ,4
73494 ,Strömsholm ,Västmanland ,25 ,59.5333 ,16.25 ,4
13220 ,Saltsjö-boo ,Stockholm ,26 ,59.3173 ,18.255 ,4
19040 ,Stockholm-Arlanda ,Stockholm ,26 ,59.6352 ,17.9125 ,4
19045 ,Stockholm-Arlanda ,Stockholm ,26 ,59.6352 ,17.9125 ,4
19046 ,Stockholm-Arlanda ,Stockholm ,26 ,59.6352 ,17.9125 ,4
19047 ,Stockholm-Arlanda ,Stockholm ,26 ,59.6352 ,17.9125 ,4
19050 ,Stockholm-Arlanda ,Stockholm ,26 ,59.6352 ,17.9125 ,4
19060 ,Stockholm-Arlanda ,Stockholm ,26 ,59.6352 ,17.9125 ,4
19090 ,Stockholm-Arlanda ,Stockholm ,26 ,59.6352 ,17.9125 ,
19587 ,Stockholm ,Stockholm ,26 ,59.3326 ,18.0649 ,4
21845 ,Vintrie ,Skåne ,27 ,55.55 ,12.9667 ,4
23040 ,Bara ,Skåne ,27 ,55.5833 ,13.2 ,4
23041 ,Klågerup ,Skåne ,27 ,55.6 ,13.25 ,4
23053 ,Alnarp ,Skåne ,27 ,55.6583 ,13.0833 ,4
23302 ,Bara ,Skåne ,27 ,55.5833 ,13.2 ,
23361 ,Bara ,Skåne ,27 ,55.5833 ,13.2 ,
23362 ,Bara ,Skåne ,27 ,55.5833 ,13.2 ,
23363 ,Bara ,Skåne ,27 ,55.5833 ,13.2 ,
23364 ,Bara ,Skåne ,27 ,55.5833 ,13.2 ,
23365 ,Bara ,Skåne ,27 ,55.5833 ,13.2 ,
23375 ,Klagerup ,Skåne ,27 ,55.5833 ,13.2 ,
23376 ,Klågerup ,Skåne ,27 ,55.6 ,13.25 ,
23456 ,Alnarp ,Skåne ,27 ,55.6583 ,13.0833 ,
26172 ,Häljarp ,Skåne ,27 ,55.85 ,12.9167 ,4
26173 ,Häljarp ,Skåne ,27 ,55.85 ,12.9167 ,4
26620 ,Munka-ljungby ,Skåne ,27 ,56.25 ,12.9667 ,4
42720 ,Billdal ,Västra Götaland ,28 ,57.5667 ,11.9333 ,4
42724 ,Billdal ,Västra Götaland ,28 ,57.5667 ,11.9333 ,4
18600 ,Vallentuna ,Stockholm ,AB ,Vallentuna ,0115 ,59.5344 ,18.0776 ,4
75445 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75446 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75447 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75448 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75449 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75450 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75451 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75452 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75460 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,
75471 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,
75473 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,
75474 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,
75500 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75550 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,
75576 ,Vänge ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,
75577 ,Vänge ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,
75578 ,Vänge ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,
75591 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75592 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75593 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75594 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75595 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75596 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75597 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75598 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75600 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75643 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75644 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,
75645 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75646 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75647 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75648 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75649 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75650 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75651 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75652 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75653 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75654 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75655 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75656 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75657 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75658 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75659 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75660 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,
75700 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75752 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75753 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75754 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75755 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75756 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75757 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75758 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75759 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
75900 ,Uppsala ,Uppsala ,C ,Uppsala ,0380 ,59.8585 ,17.6454 ,4
76031 ,Edsbro ,Uppsala ,C ,Uppsala ,0380 ,59.9 ,18.4833 ,4
76296 ,Rånäs ,Uppsala ,C ,Uppsala ,0380 ,59.8 ,18.2833 ,4
76297 ,Edsbro ,Uppsala ,C ,Uppsala ,0380 ,59.9 ,18.4833 ,
76298 ,Edsbro ,Uppsala ,C ,Uppsala ,0380 ,59.9 ,18.4833 ,
74081 ,Grillby ,Uppsala ,C ,Enköping ,0381 ,59.6167 ,17.25 ,4
74082 ,Örsundsbro ,Uppsala ,C ,Enköping ,0381 ,59.7333 ,17.3 ,4
74500 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74502 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74503 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74510 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74521 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74522 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74523 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74525 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74526 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74527 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74528 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74530 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74531 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74532 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74533 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74534 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74535 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74536 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74537 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74538 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74539 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74540 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74541 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74542 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74544 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74545 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74547 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74560 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74561 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74562 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74563 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74564 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,
74569 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,
74571 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74580 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74582 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74584 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74585 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74588 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74591 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74592 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74593 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74594 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74595 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74596 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74597 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74598 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74599 ,Enköping ,Uppsala ,C ,Enköping ,0381 ,59.6361 ,17.0777 ,4
74071 ,Öregrund ,Uppsala ,C ,Östhammar ,0382 ,59.925 ,17.4458 ,1
74200 ,Östhammar ,Uppsala ,C ,Östhammar ,0382 ,60.2591 ,18.3741 ,4
74201 ,Östhammar ,Uppsala ,C ,Östhammar ,0382 ,60.2591 ,18.3741 ,4
74203 ,Östhammar ,Uppsala ,C ,Östhammar ,0382 ,60.2591 ,18.3741 ,4
74221 ,Östhammar ,Uppsala ,C ,Östhammar ,0382 ,60.2591 ,18.3741 ,4
74231 ,Östhammar ,Uppsala ,C ,Östhammar ,0382 ,60.2591 ,18.3741 ,4
74233 ,Östhammar ,Uppsala ,C ,Östhammar ,0382 ,60.2591 ,18.3741 ,4
74234 ,Östhammar ,Uppsala ,C ,Östhammar ,0382 ,60.2591 ,18.3741 ,4
74235 ,Östhammar ,Uppsala ,C ,Östhammar ,0382 ,60.2591 ,18.3741 ,4
74236 ,Östhammar ,Uppsala ,C ,Östhammar ,0382 ,60.2591 ,18.3741 ,4
74243 ,Öregrund ,Uppsala ,C ,Östhammar ,0382 ,59.925 ,17.4458 ,
74250 ,Hargshamn ,Uppsala ,C ,Östhammar ,0382 ,60.1667 ,18.4667 ,4
74291 ,Östhammar ,Uppsala ,C ,Östhammar ,0382 ,60.2591 ,18.3741 ,4
74292 ,Östhammar ,Uppsala ,C ,Östhammar ,0382 ,60.2591 ,18.3741 ,4
74293 ,Östhammar ,Uppsala ,C ,Östhammar ,0382 ,60.2591 ,18.3741 ,4
74294 ,Östhammar ,Uppsala ,C ,Östhammar ,0382 ,60.2591 ,18.3741 ,4
74295 ,Hargshamn ,Uppsala ,C ,Östhammar ,0382 ,60.1667 ,18.4667 ,4
74700 ,Alunda ,Uppsala ,C ,Östhammar ,0382 ,60.0667 ,18.0833 ,4
74701 ,Gimo ,Uppsala ,C ,Östhammar ,0382 ,60.1833 ,18.1833 ,
74702 ,Gimo ,Uppsala ,C ,Östhammar ,0382 ,60.1833 ,18.1833 ,4
74703 ,Gimo ,Uppsala ,C ,Östhammar ,0382 ,60.1833 ,18.1833 ,
74704 ,Gimo ,Uppsala ,C ,Östhammar ,0382 ,60.1833 ,18.1833 ,
74705 ,Gimo ,Uppsala ,C ,Östhammar ,0382 ,60.1833 ,18.1833 ,
74721 ,Alunda ,Uppsala ,C ,Östhammar ,0382 ,60.0667 ,18.0833 ,4
74730 ,Alunda ,Uppsala ,C ,Östhammar ,0382 ,60.0667 ,18.0833 ,4
74731 ,Alunda ,Uppsala ,C ,Östhammar ,0382 ,60.0667 ,18.0833 ,4
74732 ,Alunda ,Uppsala ,C ,Östhammar ,0382 ,60.0667 ,18.0833 ,4
74740 ,Gimo ,Uppsala ,C ,Östhammar ,0382 ,60.1833 ,18.1833 ,4
74741 ,Gimo ,Uppsala ,C ,Östhammar ,0382 ,60.1833 ,18.1833 ,4
74742 ,Gimo ,Uppsala ,C ,Östhammar ,0382 ,60.1833 ,18.1833 ,4
74743 ,Gimo ,Uppsala ,C ,Östhammar ,0382 ,60.1833 ,18.1833 ,4
74744 ,Gimo ,Uppsala ,C ,Östhammar ,0382 ,60.1833 ,18.1833 ,4
74780 ,Gimo ,Uppsala ,C ,Östhammar ,0382 ,60.1833 ,18.1833 ,4
74791 ,Alunda ,Uppsala ,C ,Östhammar ,0382 ,60.0667 ,18.0833 ,4
74792 ,Alunda ,Uppsala ,C ,Östhammar ,0382 ,60.0667 ,18.0833 ,4
74795 ,Gimo ,Uppsala ,C ,Östhammar ,0382 ,60.1833 ,18.1833 ,4
74801 ,Österbybruk ,Uppsala ,C ,Östhammar ,0382 ,60.2 ,17.9 ,4
74821 ,Österbybruk ,Uppsala ,C ,Östhammar ,0382 ,60.2 ,17.9 ,4
74822 ,Österbybruk ,Uppsala ,C ,Östhammar ,0382 ,60.2 ,17.9 ,4
74830 ,Österbybruk ,Uppsala ,C ,Östhammar ,0382 ,60.2 ,17.9 ,4
74831 ,Österbybruk ,Uppsala ,C ,Östhammar ,0382 ,60.2 ,17.9 ,4
74832 ,Österbybruk ,Uppsala ,C ,Östhammar ,0382 ,60.2 ,17.9 ,4
74891 ,Österbybruk ,Uppsala ,C ,Östhammar ,0382 ,60.2 ,17.9 ,4
74892 ,Österbybruk ,Uppsala ,C ,Östhammar ,0382 ,60.2 ,17.9 ,4
74893 ,Österbybruk ,Uppsala ,C ,Östhammar ,0382 ,60.2 ,17.9 ,4
81065 ,Skärplinge ,Uppsala ,C ,Östhammar ,0382 ,60.4667 ,17.7667 ,4
81900 ,Skärplinge ,Uppsala ,C ,Östhammar ,0382 ,60.4667 ,17.7667 ,4
81930 ,Skärplinge ,Uppsala ,C ,Östhammar ,0382 ,60.4667 ,17.7667 ,4
81961 ,Skärplinge ,Uppsala ,C ,Östhammar ,0382 ,60.4667 ,17.7667 ,4
74120 ,Knivsta ,Uppsala ,C ,59.7256 ,17.7875 ,4
74145 ,Knivsta ,Uppsala ,C ,59.7256 ,17.7875 ,4
74219 ,Hargshamn ,Uppsala ,C ,60.1667 ,18.4667 ,4
74220 ,Östhammar ,Uppsala ,C ,60.2591 ,18.3741 ,4
74232 ,Östhammar ,Uppsala ,C ,60.2591 ,18.3741 ,4
74241 ,Öregrund ,Uppsala ,C ,60.2591 ,18.3741 ,
74242 ,Öregrund ,Uppsala ,C ,60.2591 ,18.3741 ,
74296 ,Gräsö ,Uppsala ,C ,60.2591 ,18.3741 ,
74297 ,Gräsö ,Uppsala ,C ,60.2591 ,18.3741 ,
74319 ,Vattholma ,Uppsala ,C ,60.0167 ,17.7333 ,4
74320 ,Storvreta ,Uppsala ,C ,59.9667 ,17.7 ,4
74520 ,Enköping ,Uppsala ,C ,59.6361 ,17.0777 ,4
74581 ,Enköping ,Uppsala ,C ,59.6361 ,17.0777 ,4
74583 ,Enköping ,Uppsala ,C ,59.6361 ,17.0777 ,4
74586 ,Enköping ,Uppsala ,C ,59.6361 ,17.0777 ,4
74620 ,Bålsta ,Uppsala ,C ,59.5671 ,17.5278 ,4
74719 ,Gimo ,Uppsala ,C ,60.1833 ,18.1833 ,4
74720 ,Alunda ,Uppsala ,C ,60.0667 ,18.0833 ,4
74818 ,Tobo ,Uppsala ,C ,60.2667 ,17.65 ,4
74819 ,Örbyhus ,Uppsala ,C ,60.2333 ,17.7 ,4
74820 ,Österbybruk ,Uppsala ,C ,60.2 ,17.9 ,4
74900 ,Enköping ,Uppsala ,C ,59.6361 ,17.0777 ,
74906 ,Örsundsbro ,Uppsala ,C ,59.7333 ,17.3 ,4
74935 ,Enköping ,Uppsala ,C ,59.6361 ,17.0777 ,4
74940 ,Enköping ,Uppsala ,C ,59.6361 ,17.0777 ,4
74941 ,Enköping ,Uppsala ,C ,59.6361 ,17.0777 ,4
74942 ,Enköping ,Uppsala ,C ,59.6361 ,17.0777 ,4
74943 ,Enköping ,Uppsala ,C ,59.6361 ,17.0777 ,
74944 ,Enköping ,Uppsala ,C ,59.6361 ,17.0777 ,4
74945 ,Enköping ,Uppsala ,C ,59.6361 ,17.0777 ,4
74946 ,Enköping ,Uppsala ,C ,59.6361 ,17.0777 ,4
74947 ,Enköping ,Uppsala ,C ,59.6361 ,17.0777 ,4
74948 ,Enköping ,Uppsala ,C ,59.6361 ,17.0777 ,4
74949 ,Enköping ,Uppsala ,C ,59.6361 ,17.0777 ,4
74951 ,Grillby ,Uppsala ,C ,59.6167 ,17.25 ,
74952 ,Grillby ,Uppsala ,C ,59.6167 ,17.25 ,4
74959 ,Enköping ,Uppsala ,C ,59.6361 ,17.0777 ,
74960 ,Örsundsbro ,Uppsala ,C ,59.7333 ,17.3 ,4
74961 ,Örsundsbro ,Uppsala ,C ,59.7333 ,17.3 ,4
74962 ,Örsundsbro ,Uppsala ,C ,59.7333 ,17.3 ,4
74963 ,Örsundsbro ,Uppsala ,C ,59.6167 ,17.25 ,
74981 ,Enköping ,Uppsala ,C ,59.6361 ,17.0777 ,4
75004 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75219 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75220 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75265 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75268 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75271 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75308 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75316 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75317 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75418 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75443 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75453 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75454 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75642 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75800 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75801 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75802 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75803 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75804 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75806 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75808 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75809 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75810 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75813 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75815 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75816 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75822 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75823 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75824 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75825 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75826 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75852 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75853 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75854 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75855 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75856 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75857 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75871 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75872 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
75873 ,Uppsala ,Uppsala ,C ,59.8585 ,17.6454 ,4
81420 ,Skutskär ,Uppsala ,C ,60.641 ,17.4091 ,4
81519 ,Söderfors ,Uppsala ,C ,60.3833 ,17.2333 ,4
81520 ,Tierp ,Uppsala ,C ,60.3427 ,17.5181 ,4
81535 ,Tierp ,Uppsala ,C ,60.3427 ,17.5181 ,4
81581 ,Tierp ,Uppsala ,C ,60.3427 ,17.5181 ,4
64301 ,Vingåker ,Södermanland ,D ,Vingåker ,0428 ,59.0433 ,15.8737 ,4
64321 ,Vingåker ,Södermanland ,D ,Vingåker ,0428 ,59.0433 ,15.8737 ,4
64322 ,Vingåker ,Södermanland ,D ,Vingåker ,0428 ,59.0433 ,15.8737 ,4
64330 ,Vingåker ,Södermanland ,D ,Vingåker ,0428 ,59.0433 ,15.8737 ,4
64331 ,Vingåker ,Södermanland ,D ,Vingåker ,0428 ,59.0433 ,15.8737 ,4
64332 ,Vingåker ,Södermanland ,D ,Vingåker ,0428 ,59.0433 ,15.8737 ,4
64333 ,Vingåker ,Södermanland ,D ,Vingåker ,0428 ,59.0433 ,15.8737 ,4
64380 ,Vingåker ,Södermanland ,D ,Vingåker ,0428 ,59.0433 ,15.8737 ,4
64391 ,Vingåker ,Södermanland ,D ,Vingåker ,0428 ,59.0433 ,15.8737 ,4
64392 ,Vingåker ,Södermanland ,D ,Vingåker ,0428 ,59.0433 ,15.8737 ,4
64393 ,Vingåker ,Södermanland ,D ,Vingåker ,0428 ,59.0433 ,15.8737 ,4
64394 ,Vingåker ,Södermanland ,D ,Vingåker ,0428 ,59.0433 ,15.8737 ,4
64395 ,Vingåker ,Södermanland ,D ,Vingåker ,0428 ,59.0433 ,15.8737 ,4
64601 ,Gnesta ,Södermanland ,D ,Gnesta ,0461 ,59.0475 ,17.3119 ,4
64621 ,Gnesta ,Södermanland ,D ,Gnesta ,0461 ,59.0475 ,17.3119 ,4
64622 ,Gnesta ,Södermanland ,D ,Gnesta ,0461 ,59.0475 ,17.3119 ,4
64623 ,Gnesta ,Södermanland ,D ,Gnesta ,0461 ,59.0475 ,17.3119 ,4
64630 ,Gnesta ,Södermanland ,D ,Gnesta ,0461 ,59.0475 ,17.3119 ,4
64631 ,Gnesta ,Södermanland ,D ,Gnesta ,0461 ,59.0475 ,17.3119 ,4
64632 ,Gnesta ,Södermanland ,D ,Gnesta ,0461 ,59.0475 ,17.3119 ,4
64633 ,Gnesta ,Södermanland ,D ,Gnesta ,0461 ,59.0475 ,17.3119 ,4
64634 ,Gnesta ,Södermanland ,D ,Gnesta ,0461 ,59.0475 ,17.3119 ,4
64635 ,Gnesta ,Södermanland ,D ,Gnesta ,0461 ,59.0475 ,17.3119 ,4
64680 ,Gnesta ,Södermanland ,D ,Gnesta ,0461 ,59.0475 ,17.3119 ,4
64691 ,Gnesta ,Södermanland ,D ,Gnesta ,0461 ,59.0475 ,17.3119 ,4
64692 ,Gnesta ,Södermanland ,D ,Gnesta ,0461 ,59.0475 ,17.3119 ,4
64693 ,Gnesta ,Södermanland ,D ,Gnesta ,0461 ,59.0475 ,17.3119 ,4
61053 ,Enstaberga ,Södermanland ,D ,Nyköping ,0480 ,58.75 ,16.85 ,4
61054 ,Nävekvarn ,Södermanland ,D ,Nyköping ,0480 ,58.6331 ,16.8 ,4
61055 ,Stigtomta ,Södermanland ,D ,Nyköping ,0480 ,58.8 ,16.7833 ,4
61056 ,Vrena ,Södermanland ,D ,Nyköping ,0480 ,58.8667 ,16.6833 ,4
61100 ,Nyköping ,Södermanland ,D ,Nyköping ,0480 ,58.753 ,17.0079 ,4
61101 ,Nyköping ,Södermanland ,D ,Nyköping ,0480 ,58.753 ,17.0079 ,4
61102 ,Nyköping ,Södermanland ,D ,Nyköping ,0480 ,58.753 ,17.0079 ,4
61103 ,Nyköping ,Södermanland ,D ,Nyköping ,0480 ,58.753 ,17.0079 ,4
